GAME,CATEGORY,IGT,RTA
,,,,
Bloodstained: Curse of the Moon,Zangetsu Only Ultimate Casual,23m41s,29m26s
Shovel Knight,any%,,59m9s
Hyper Light Drifter,any% (patch 5/18/2016),,43m57s
