Rating,Game,Platform,First Playthrough,Emulator
7,Bionic Commando,PC,3h45m23s,No
7,Bioshock,PC,5h54m,No
7,"Bioshock 2 ""Remastered""",PC,5h27m55s,No
7,Bioshock: Infinite,PC,5h15m26s,No
7,Bully: Scholarship Edition,PC,12h43m6s,No
7,Capsized,PC,2h46m22s,No
7,Castlevania: Circle of the Moon,GBA,7h24m38s,Yes
7,Castlevania: Dracula X,SNES,,Yes
7,Castlevania: Harmony of Dissonance,GBA,8h17m13s,Yes
7,Castlevania: Lords of Shadow + DLC,PC,18h6m,No
7,Castlevania: Lords of Shadow 2,PC,10h16m52s,No
7,Castlevania: Symphony of the Night,PSX,4h32m47s,Yes
7,Cloudbuilt,PC,1h1m56s,No
7,Crash Bandicoot,PSX,,Yes
7,Crash Bandicoot: Warped,PSX,3h4m5s,Yes
7,Crash Twinsanity,PS2,4h47m31s,Yes
7,Croc 2,PSX,7h19m46s,Yes
7,Dark Messiah of Might and Magic,PC,5h21m32s,No
7,Darksiders,PC,15h48m,No
7,Darksiders II,PC,11h30m13s,No
7,Dead Cells,PC,,No
7,Dead Space,PC,7h50m42s,No
7,Demon's Crest ,SNES,1h41m32s,Yes
7,Devil May Cry (HD),PS3,4h26m32s,No
7,Diddy Kong Racing,N64,6h7m19s,Yes
7,Divinity II (+ DLC),PC,20h33m25s,No
7,DMC: Devil May Cry (2013),PC,5h51m15s,No
7,Donald Duck: Quack Attack,N64,,Yes
7,DOOM 3,PC,7h10m41s,No
7,Dragon Age: Inquisition,PC,29h14m39s,No
7,Dragon's Dogma: Dark Arisen,PC,41h,No
7,Earth Defense Force: Insect Armageddon,PC,4h35m29s,No
7,F.E.A.R 3,PC,,No
7,Fallout 3,PC,,No
7,Fallout: New Vegas,PC,28h20m47s,No
7,Far Cry 2,PC,13h10m28s,No
7,Far Cry 3: Blood Dragon,PC,2h40m7s,No
7,Felix the Cat,NES,1h14m1s,Yes
7,Glover,N64,5h47s27s,Yes
7,Grand Theft Auto: Vice City,PC,13h37m22s,No
7,Grim Dawn,PC,14h38m3s,No
7,Grow Home,PC,2h,No
7,Gunpoint,PC,4h42m,No
7,Half-Life,PC,,No
7,Half-Life 2,PC,8h36m,No
7,Half-Life 2: Episode Two,PC,2h54m21s,No
7,Half-Life: Blue Shift,PC,,No
7,Hammerwatch,PC,,No
7,High Hell,PC,44m15s,No
7,Hitman: Blood Money,PC,11h,No
7,Hob,PC,6h43m5s,No
7,Human: Fall Flat,PC,4h16m25s,No
7,Jet Set Radio,PC,5h2m23s,No
7,Judge Dredd: Dredd vs Death,PC,2h35m47s,No
7,Just Cause 3,PC,10h57m48s,No
7,Killer is Dead,PC,5h59m22s,No
7,klocki,PC,1h25m,No
7,Legend of Kay Anniversary,PC,10h12m,No
7,LEGO Star Wars: The Original Trilogy,PSP,,No
7,Loom,DOS,2h23m27s,Yes
7,Lords of the Fallen,PC,7h40m46s,No
7,Lucius,PC,6h2m45s,No
7,Luigi's Mansion,GCN,6h18m38s,Yes
7,Mad Max,PC,11h21m23s,No
7,Magicka 2,PC,4h,No
7,Mario Kart: Double Dash!!,GCN,,Yes
7,Mark of the Ninja,PC,6h3m8s,No
7,Mass Effect 2,XBOX360,,No
7,Metroid Fusion,GBA,3h25m,Yes
7,Mickey Mouse: Castle of Illusion,PC,1h42m,No
7,Middle-Earth: Shadow of Mordor ,PC,,No
7,New Super Mario Bros,NDS,,No
7,Nitronic Rush,PC,,No
7,Nuclear Throne,PC,,No
7,Oddworld: New 'n' Tasty,PC,7h31m57s,No
7,Overlord + Raising Hell DLC,PC,21h48m,No
7,Painkiller: Hell & Damnation,PC,3h3m38s,No
7,Pankapu,PC,7h51m17s,No
7,Pepsiman,PSX,1h17m56s,Yes
7,Pillars of Eternity,PC,38h39m49s,No
7,Quake II,PC,4h46m41,No
7,RAGE,PC,6h46m10s,No
7,Rayman 2: The Great Escape,PSX,4h57m3s,Yes
7,Rayman Origins,PC,6h15m45s,No
7,Red Faction: Guerilla,PC,9h5m5s,No
7,Redeemer,PC,4h47m55s,No
7,Rogue Legacy,PC,9h7m48s,No
7,S.T.A.L.K.E.R.: Shadow of Chernobyl,PC,5h56m20s,No
7,Saints Row: The Third,XBOX360,18h,No
7,Salt and Sanctuary,PC,10h16m38s,No
7,Scribblenauts Unlimited,PC,5h24m46s,No
7,Shadow Bug,PC,2h23m42s,No
7,Shadow Warrior 2,PC,5h9m14s,No
7,Shantae: Half-Genie Hero,PC,7h26m3s,No
7,Singularity,PC,4h41m9s,No
7,Sleeping Dogs,PC,15h30s,No
7,Sniper Elite,PC,7h10m9s,No
7,Song of the Deep,PC,6h8m46s,No
